,DENTIST,DOCTOR,MEDICAL TECHNOLOGIST,MIDWIFE,NURSE,NUTRITIONIST/DIETICIAN,OCCUPATIONAL THERAPIST,PHARMACIST,PHYSICAL THERAPIST,Place of Practice,RADIOLOGY TECHNOLOGIST,Total,X-RAY TECHNOLOGIST,municipality,province
62,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,11.0,0.0,CARMEN,AGUSAN DEL NORTE
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,CARMEN,AGUSAN DEL NORTE
64,1.0,2.0,1.0,12.0,4.0,0.0,0.0,1.0,0.0,Within,0.0,21.0,0.0,JABONGA,AGUSAN DEL NORTE
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,JABONGA,AGUSAN DEL NORTE
66,1.0,4.0,2.0,8.0,9.0,0.0,0.0,1.0,0.0,Within,0.0,26.0,1.0,KITCHARAO,AGUSAN DEL NORTE
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,KITCHARAO,AGUSAN DEL NORTE
68,1.0,1.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,Within,0.0,16.0,0.0,LAS NIEVES,AGUSAN DEL NORTE
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LAS NIEVES,AGUSAN DEL NORTE
70,1.0,7.0,2.0,6.0,11.0,0.0,0.0,0.0,0.0,Within,0.0,27.0,0.0,MAGALLANES,AGUSAN DEL NORTE
71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,MAGALLANES,AGUSAN DEL NORTE
72,3.0,6.0,2.0,21.0,18.0,0.0,0.0,1.0,0.0,Within,0.0,51.0,0.0,NASIPIT,AGUSAN DEL NORTE
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,NASIPIT,AGUSAN DEL NORTE
74,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,6.0,0.0,REMEDIOS T. ROMUALDEZ,AGUSAN DEL NORTE
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,REMEDIOS T. ROMUALDEZ,AGUSAN DEL NORTE
76,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,8.0,0.0,SANTIAGO,AGUSAN DEL NORTE
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SANTIAGO,AGUSAN DEL NORTE
78,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,10.0,0.0,TUBAY,AGUSAN DEL NORTE
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,TUBAY,AGUSAN DEL NORTE
80,19.0,175.0,59.0,241.0,419.0,11.0,0.0,27.0,6.0,Within,17.0,976.0,2.0,TOTAL,AGUSAN DEL NORTE
81,1.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,cross,0.0,10.0,0.0,TOTAL,AGUSAN DEL NORTE
82,3.0,10.0,3.0,32.0,24.0,0.0,0.0,2.0,0.0,Within,0.0,74.0,0.0,BAYUGAN,AGUSAN DEL SUR
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BAYUGAN,AGUSAN DEL SUR
84,1.0,7.0,3.0,11.0,18.0,1.0,0.0,2.0,0.0,Within,0.0,43.0,0.0,BUNAWAN,AGUSAN DEL SUR
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUNAWAN,AGUSAN DEL SUR
86,2.0,2.0,3.0,19.0,5.0,0.0,0.0,1.0,0.0,Within,0.0,32.0,0.0,ESPERANZA,AGUSAN DEL SUR
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,ESPERANZA,AGUSAN DEL SUR
88,1.0,3.0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,Within,0.0,18.0,0.0,LA PAZ,AGUSAN DEL SUR
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LA PAZ,AGUSAN DEL SUR
90,0.0,2.0,0.0,10.0,5.0,0.0,0.0,1.0,0.0,Within,0.0,18.0,0.0,LORETO,AGUSAN DEL SUR
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LORETO,AGUSAN DEL SUR
92,4.0,27.0,12.0,32.0,80.0,2.0,0.0,5.0,0.0,Within,3.0,165.0,0.0,PROSPERIDAD,AGUSAN DEL SUR
93,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,2.0,0.0,PROSPERIDAD,AGUSAN DEL SUR
